rent_sno,date,0
33,2021-11-24,107
33,2021-11-25,112
33,2021-11-26,56
33,2021-11-27,19
33,2021-11-28,58
33,2021-11-29,117
33,2021-11-30,83
34,2021-11-01,148
34,2021-11-02,158
34,2021-11-03,138
34,2021-11-04,144
34,2021-11-05,150
34,2021-11-06,113
34,2021-11-07,92
34,2021-11-08,91
34,2021-11-09,136
34,2021-11-10,133
34,2021-11-11,156
34,2021-11-12,109
34,2021-11-13,84
34,2021-11-14,90
34,2021-11-15,133
34,2021-11-16,180
34,2021-11-17,151
34,2021-11-18,106
34,2021-11-19,162
34,2021-11-20,87
34,2021-11-21,98
34,2021-11-22,116
34,2021-11-23,69
34,2021-11-24,120
34,2021-11-25,142
34,2021-11-26,88
34,2021-11-27,28
34,2021-11-28,92
34,2021-11-29,128
34,2021-11-30,94
35,2021-11-01,312
35,2021-11-02,315
35,2021-11-03,291
35,2021-11-04,307
35,2021-11-05,317
35,2021-11-06,260
35,2021-11-07,208
35,2021-11-08,221
35,2021-11-09,320
35,2021-11-10,286
35,2021-11-11,305
35,2021-11-12,257
35,2021-11-13,174
35,2021-11-14,211
35,2021-11-15,268
35,2021-11-16,342
35,2021-11-17,272
35,2021-11-18,245
35,2021-11-19,312
35,2021-11-20,180
35,2021-11-21,215
35,2021-11-22,202
35,2021-11-23,176
35,2021-11-24,252
35,2021-11-25,278
35,2021-11-26,182
35,2021-11-27,73
35,2021-11-28,195
35,2021-11-29,279
35,2021-11-30,238
36,2021-11-01,208
36,2021-11-02,199
36,2021-11-03,215
36,2021-11-04,213
36,2021-11-05,287
36,2021-11-06,137
36,2021-11-07,114
36,2021-11-08,178
36,2021-11-09,243
36,2021-11-10,263
36,2021-11-11,244
36,2021-11-12,151
36,2021-11-13,89
36,2021-11-14,74
36,2021-11-15,181
36,2021-11-16,206
36,2021-11-17,244
36,2021-11-18,173
36,2021-11-19,235
36,2021-11-20,110
36,2021-11-21,138
36,2021-11-22,195
36,2021-11-23,163
36,2021-11-24,226
36,2021-11-25,211
36,2021-11-26,140
36,2021-11-27,30
36,2021-11-28,114
36,2021-11-29,220
36,2021-11-30,203
37,2021-11-01,384
37,2021-11-02,417
37,2021-11-03,428
37,2021-11-04,417
37,2021-11-05,425
37,2021-11-06,390
37,2021-11-07,430
37,2021-11-08,311
37,2021-11-09,430
37,2021-11-10,412
37,2021-11-11,412
37,2021-11-12,362
37,2021-11-13,285
37,2021-11-14,373
37,2021-11-15,451
37,2021-11-16,438
37,2021-11-17,432
37,2021-11-18,402
37,2021-11-19,458
37,2021-11-20,252
37,2021-11-21,364
37,2021-11-22,318
37,2021-11-23,298
37,2021-11-24,392
37,2021-11-25,403
37,2021-11-26,222
37,2021-11-27,122
37,2021-11-28,381
37,2021-11-29,379
37,2021-11-30,337
38,2021-11-01,259
38,2021-11-02,291
38,2021-11-03,270
38,2021-11-04,251
38,2021-11-05,323
38,2021-11-06,175
38,2021-11-07,202
38,2021-11-08,211
38,2021-11-09,265
38,2021-11-10,277
38,2021-11-11,281
38,2021-11-12,201
38,2021-11-13,136
38,2021-11-14,168
38,2021-11-15,257
38,2021-11-16,259
38,2021-11-17,309
38,2021-11-18,228
38,2021-11-19,277
38,2021-11-20,132
38,2021-11-21,156
38,2021-11-22,239
38,2021-11-23,171
38,2021-11-24,255
38,2021-11-25,216
38,2021-11-26,119
38,2021-11-27,51
38,2021-11-28,152
38,2021-11-29,220
38,2021-11-30,207
39,2021-11-01,93
39,2021-11-02,74
39,2021-11-03,74
39,2021-11-04,76
39,2021-11-05,98
39,2021-11-06,56
39,2021-11-07,38
39,2021-11-08,56
39,2021-11-09,83
39,2021-11-10,85
39,2021-11-11,86
39,2021-11-12,50
39,2021-11-13,16
39,2021-11-14,25
39,2021-11-15,96
39,2021-11-16,77
39,2021-11-17,79
39,2021-11-18,62
39,2021-11-19,83
39,2021-11-20,28
39,2021-11-21,47
39,2021-11-22,41
39,2021-11-23,43
39,2021-11-24,83
39,2021-11-25,54
39,2021-11-26,36
39,2021-11-27,8
39,2021-11-28,28
39,2021-11-29,78
39,2021-11-30,51
40,2021-11-01,104
40,2021-11-02,93
40,2021-11-03,94
40,2021-11-04,89
40,2021-11-05,104
40,2021-11-06,95
40,2021-11-07,90
40,2021-11-08,51
40,2021-11-09,92
40,2021-11-10,79
40,2021-11-11,98
40,2021-11-12,53
40,2021-11-13,64
40,2021-11-14,75
40,2021-11-15,87
40,2021-11-16,89
40,2021-11-17,88
40,2021-11-18,71
40,2021-11-19,74
40,2021-11-20,57
40,2021-11-21,79
40,2021-11-22,68
40,2021-11-23,30
40,2021-11-24,69
40,2021-11-25,73
40,2021-11-26,26
40,2021-11-27,19
40,2021-11-28,80
40,2021-11-29,83
40,2021-11-30,81
41,2021-11-01,51
41,2021-11-02,48
41,2021-11-03,41
41,2021-11-04,39
