return_sno,date,0
41,2021-11-14,53
41,2021-11-15,60
41,2021-11-16,50
41,2021-11-17,48
41,2021-11-18,42
41,2021-11-19,58
41,2021-11-20,28
41,2021-11-21,46
41,2021-11-22,26
41,2021-11-23,22
41,2021-11-24,44
41,2021-11-25,28
41,2021-11-26,21
41,2021-11-27,10
41,2021-11-28,41
41,2021-11-29,57
41,2021-11-30,41
42,2021-11-01,204
42,2021-11-02,218
42,2021-11-03,209
42,2021-11-04,192
42,2021-11-05,234
42,2021-11-06,210
42,2021-11-07,196
42,2021-11-08,143
42,2021-11-09,223
42,2021-11-10,195
42,2021-11-11,203
42,2021-11-12,150
42,2021-11-13,110
42,2021-11-14,154
42,2021-11-15,206
42,2021-11-16,180
42,2021-11-17,175
42,2021-11-18,123
42,2021-11-19,186
42,2021-11-20,105
42,2021-11-21,152
42,2021-11-22,151
42,2021-11-23,99
42,2021-11-24,190
42,2021-11-25,125
42,2021-11-26,82
42,2021-11-27,42
42,2021-11-28,173
42,2021-11-29,173
42,2021-11-30,162
43,2021-11-01,12
43,2021-11-02,14
43,2021-11-03,6
43,2021-11-04,17
43,2021-11-05,19
43,2021-11-06,26
43,2021-11-07,21
43,2021-11-08,10
43,2021-11-09,12
43,2021-11-10,17
43,2021-11-11,13
43,2021-11-12,10
43,2021-11-13,10
43,2021-11-14,10
43,2021-11-15,16
43,2021-11-16,22
43,2021-11-17,11
43,2021-11-18,5
43,2021-11-19,13
43,2021-11-20,9
43,2021-11-21,34
43,2021-11-22,3
43,2021-11-23,4
43,2021-11-24,11
43,2021-11-25,8
43,2021-11-26,3
43,2021-11-27,2
43,2021-11-28,16
43,2021-11-29,11
43,2021-11-30,6
44,2021-11-01,49
44,2021-11-02,26
44,2021-11-03,28
44,2021-11-04,39
44,2021-11-05,40
44,2021-11-06,43
44,2021-11-07,45
44,2021-11-08,18
44,2021-11-09,30
44,2021-11-10,36
44,2021-11-11,34
44,2021-11-12,28
44,2021-11-13,6
44,2021-11-14,30
44,2021-11-15,42
44,2021-11-16,36
44,2021-11-17,42
44,2021-11-18,21
44,2021-11-19,39
44,2021-11-20,17
44,2021-11-21,43
44,2021-11-22,14
44,2021-11-23,6
44,2021-11-24,26
44,2021-11-25,37
44,2021-11-26,10
44,2021-11-27,2
44,2021-11-28,33
44,2021-11-29,38
44,2021-11-30,35
45,2021-11-01,513
45,2021-11-02,441
45,2021-11-03,464
45,2021-11-04,514
45,2021-11-05,657
45,2021-11-06,485
45,2021-11-07,442
45,2021-11-08,391
45,2021-11-09,471
45,2021-11-10,487
45,2021-11-11,477
45,2021-11-12,420
45,2021-11-13,381
45,2021-11-14,357
45,2021-11-15,527
45,2021-11-16,458
45,2021-11-17,515
45,2021-11-18,387
45,2021-11-19,612
45,2021-11-20,410
45,2021-11-21,422
45,2021-11-22,403
45,2021-11-23,284
45,2021-11-24,507
45,2021-11-25,535
45,2021-11-26,377
45,2021-11-27,187
45,2021-11-28,412
45,2021-11-29,588
45,2021-11-30,371
46,2021-11-01,120
46,2021-11-02,107
46,2021-11-03,123
46,2021-11-04,119
46,2021-11-05,116
46,2021-11-06,24
46,2021-11-07,21
